<div style='font-family:sans-serif;line-height:1.55;text-align:center'><div style='font-size:28px;font-weight:700'>🇰🇷 열다</div><div style='font-size:18px;opacity:.75;margin-top:8px'>🇬🇧 to open something</div><div style='margin-top:18px;padding:10px;border:1px solid #aaa;border-radius:10px'><b>Frame:</b> Nを開(あ)ける</div></div>	<div style='font-family:sans-serif;line-height:1.55'><div style='font-size:36px;font-weight:700;text-align:center'>開(あ)ける</div><div style='font-size:18px;opacity:.7;text-align:center'>あける</div><div style='margin-top:14px'><b>一段(いちだん)</b> · 他動詞(たどうし)</div><div><b>Frame:</b> Nを開(あ)ける</div><div style='margin-top:14px;font-size:21px'>窓(まど)を開(あ)ける。</div><div style='opacity:.7'>🇰🇷 창문을 열다.</div></div>	JLPT_N3_4M mechanics_verb pair_open ichidan transitive production
<div style='font-family:sans-serif;line-height:1.55;text-align:center'><div style='font-size:28px;font-weight:700'>🇰🇷 열리다; 문을 열다</div><div style='font-size:18px;opacity:.75;margin-top:8px'>🇬🇧 to open; become open</div><div style='margin-top:18px;padding:10px;border:1px solid #aaa;border-radius:10px'><b>Frame:</b> Nが開(あ)く</div></div>	<div style='font-family:sans-serif;line-height:1.55'><div style='font-size:36px;font-weight:700;text-align:center'>開(あ)く</div><div style='font-size:18px;opacity:.7;text-align:center'>あく</div><div style='margin-top:14px'><b>五段(ごだん)</b> · 自動詞(じどうし)</div><div><b>Frame:</b> Nが開(あ)く</div><div style='margin-top:14px;font-size:21px'>店(みせ)は九時(くじ)に開(あ)く。</div><div style='opacity:.7'>🇰🇷 가게는 9시에 연다.</div></div>	JLPT_N3_4M mechanics_verb pair_open godan intransitive production
<div style='font-family:sans-serif;line-height:1.55;text-align:center'><div style='font-size:28px;font-weight:700'>🇰🇷 닫다</div><div style='font-size:18px;opacity:.75;margin-top:8px'>🇬🇧 to close something</div><div style='margin-top:18px;padding:10px;border:1px solid #aaa;border-radius:10px'><b>Frame:</b> Nを閉(し)める</div></div>	<div style='font-family:sans-serif;line-height:1.55'><div style='font-size:36px;font-weight:700;text-align:center'>閉(し)める</div><div style='font-size:18px;opacity:.7;text-align:center'>しめる</div><div style='margin-top:14px'><b>一段(いちだん)</b> · 他動詞(たどうし)</div><div><b>Frame:</b> Nを閉(し)める</div><div style='margin-top:14px;font-size:21px'>窓(まど)を閉(し)める。</div><div style='opacity:.7'>🇰🇷 창문을 닫다.</div></div>	JLPT_N3_4M mechanics_verb pair_close ichidan transitive production
<div style='font-family:sans-serif;line-height:1.55;text-align:center'><div style='font-size:28px;font-weight:700'>🇰🇷 닫히다</div><div style='font-size:18px;opacity:.75;margin-top:8px'>🇬🇧 to close; become closed</div><div style='margin-top:18px;padding:10px;border:1px solid #aaa;border-radius:10px'><b>Frame:</b> Nが閉(し)まる</div></div>	<div style='font-family:sans-serif;line-height:1.55'><div style='font-size:36px;font-weight:700;text-align:center'>閉(し)まる</div><div style='font-size:18px;opacity:.7;text-align:center'>しまる</div><div style='margin-top:14px'><b>五段(ごだん)</b> · 自動詞(じどうし)</div><div><b>Frame:</b> Nが閉(し)まる</div><div style='margin-top:14px;font-size:21px'>店(みせ)は八時(はちじ)に閉(し)まる。</div><div style='opacity:.7'>🇰🇷 가게는 8시에 닫는다.</div></div>	JLPT_N3_4M mechanics_verb pair_close godan intransitive production
<div style='font-family:sans-serif;line-height:1.55;text-align:center'><div style='font-size:28px;font-weight:700'>🇰🇷 시작하다</div><div style='font-size:18px;opacity:.75;margin-top:8px'>🇬🇧 to start something</div><div style='margin-top:18px;padding:10px;border:1px solid #aaa;border-radius:10px'><b>Frame:</b> Nを始(はじ)める</div></div>	<div style='font-family:sans-serif;line-height:1.55'><div style='font-size:36px;font-weight:700;text-align:center'>始(はじ)める</div><div style='font-size:18px;opacity:.7;text-align:center'>はじめる</div><div style='margin-top:14px'><b>一段(いちだん)</b> · 他動詞(たどうし)</div><div><b>Frame:</b> Nを始(はじ)める</div><div style='margin-top:14px;font-size:21px'>勉強(べんきょう)を始(はじ)める。</div><div style='opacity:.7'>🇰🇷 공부를 시작하다.</div></div>	JLPT_N3_4M mechanics_verb pair_start ichidan transitive production
<div style='font-family:sans-serif;line-height:1.55;text-align:center'><div style='font-size:28px;font-weight:700'>🇰🇷 시작되다</div><div style='font-size:18px;opacity:.75;margin-top:8px'>🇬🇧 to begin; start</div><div style='margin-top:18px;padding:10px;border:1px solid #aaa;border-radius:10px'><b>Frame:</b> Nが始(はじ)まる</div></div>	<div style='font-family:sans-serif;line-height:1.55'><div style='font-size:36px;font-weight:700;text-align:center'>始(はじ)まる</div><div style='font-size:18px;opacity:.7;text-align:center'>はじまる</div><div style='margin-top:14px'><b>五段(ごだん)</b> · 自動詞(じどうし)</div><div><b>Frame:</b> Nが始(はじ)まる</div><div style='margin-top:14px;font-size:21px'>授業(じゅぎょう)が始(はじ)まる。</div><div style='opacity:.7'>🇰🇷 수업이 시작된다.</div></div>	JLPT_N3_4M mechanics_verb pair_start godan intransitive production
<div style='font-family:sans-serif;line-height:1.55;text-align:center'><div style='font-size:28px;font-weight:700'>🇰🇷 끝내다</div><div style='font-size:18px;opacity:.75;margin-top:8px'>🇬🇧 to finish something</div><div style='margin-top:18px;padding:10px;border:1px solid #aaa;border-radius:10px'><b>Frame:</b> Nを終(お)える</div></div>	<div style='font-family:sans-serif;line-height:1.55'><div style='font-size:36px;font-weight:700;text-align:center'>終(お)える</div><div style='font-size:18px;opacity:.7;text-align:center'>おえる</div><div style='margin-top:14px'><b>一段(いちだん)</b> · 他動詞(たどうし)</div><div><b>Frame:</b> Nを終(お)える</div><div style='margin-top:14px;font-size:21px'>仕事(しごと)を終(お)える。</div><div style='opacity:.7'>🇰🇷 일을 끝내다.</div></div>	JLPT_N3_4M mechanics_verb pair_finish ichidan transitive production
<div style='font-family:sans-serif;line-height:1.55;text-align:center'><div style='font-size:28px;font-weight:700'>🇰🇷 끝나다</div><div style='font-size:18px;opacity:.75;margin-top:8px'>🇬🇧 to end; finish</div><div style='margin-top:18px;padding:10px;border:1px solid #aaa;border-radius:10px'><b>Frame:</b> Nが終(お)わる</div></div>	<div style='font-family:sans-serif;line-height:1.55'><div style='font-size:36px;font-weight:700;text-align:center'>終(お)わる</div><div style='font-size:18px;opacity:.7;text-align:center'>おわる</div><div style='margin-top:14px'><b>五段(ごだん)</b> · 自動詞(じどうし)</div><div><b>Frame:</b> Nが終(お)わる</div><div style='margin-top:14px;font-size:21px'>試験(しけん)が終(お)わる。</div><div style='opacity:.7'>🇰🇷 시험이 끝난다.</div></div>	JLPT_N3_4M mechanics_verb pair_finish godan intransitive production
<div style='font-family:sans-serif;line-height:1.55;text-align:center'><div style='font-size:28px;font-weight:700'>🇰🇷 넣다</div><div style='font-size:18px;opacity:.75;margin-top:8px'>🇬🇧 to put in; insert</div><div style='margin-top:18px;padding:10px;border:1px solid #aaa;border-radius:10px'><b>Frame:</b> Nを場所(ばしょ)に入(い)れる</div></div>	<div style='font-family:sans-serif;line-height:1.55'><div style='font-size:36px;font-weight:700;text-align:center'>入(い)れる</div><div style='font-size:18px;opacity:.7;text-align:center'>いれる</div><div style='margin-top:14px'><b>一段(いちだん)</b> · 他動詞(たどうし)</div><div><b>Frame:</b> Nを場所(ばしょ)に入(い)れる</div><div style='margin-top:14px;font-size:21px'>鞄(かばん)に本(ほん)を入(い)れる。</div><div style='opacity:.7'>🇰🇷 가방에 책을 넣다.</div></div>	JLPT_N3_4M mechanics_verb pair_enter ichidan transitive production
<div style='font-family:sans-serif;line-height:1.55;text-align:center'><div style='font-size:28px;font-weight:700'>🇰🇷 들어가다</div><div style='font-size:18px;opacity:.75;margin-top:8px'>🇬🇧 to enter; go in</div><div style='margin-top:18px;padding:10px;border:1px solid #aaa;border-radius:10px'><b>Frame:</b> Nが場所(ばしょ)に入(はい)る</div></div>	<div style='font-family:sans-serif;line-height:1.55'><div style='font-size:36px;font-weight:700;text-align:center'>入(はい)る</div><div style='font-size:18px;opacity:.7;text-align:center'>はいる</div><div style='margin-top:14px'><b>五段(ごだん)・注意(ちゅうい)</b> · 自動詞(じどうし)</div><div><b>Frame:</b> Nが場所(ばしょ)に入(はい)る</div><div style='margin-top:14px;font-size:21px'>部屋(へや)に入(はい)る。</div><div style='opacity:.7'>🇰🇷 방에 들어가다.</div></div>	JLPT_N3_4M mechanics_verb pair_enter godan intransitive production
